Course,Course Title,Description,prerequisites,preq_notes
Accounting,ACTG 1988 Study Abroad Resident Credit  (0-18 Credits),,,
Accounting,ACTG 2010 Survey of Accounting  (4 Credits),"accounting for running a business, with modules on financial accounting and a focus on managerial accounting. prerequisite: sophomore standing. business minors only.",,sophomore standing
Accounting,ACTG 2200 Introduction to Financial Reporting  (4 Credits),"the purpose of this course is to introduce students to accounting and its relevance in the business world. students learn how to analyze transactions and prepare financial statements. in addition, students are introduced to publicly traded company's annual reports and 10 k's. prerequisites for business majors:info 1010,math 1200,econ 1020, and microsoft excel certification. prerequisites for business administration minors: sophomore standing and declared minor.",,
Accounting,ACTG 2300 Accounting for Decision Making  (4 Credits),"introduces or reinforces concepts and techniques for using accounting information for managerial purposes. the focus is on interpreting financial information and making business decisions, not accumulating or preparing accounting information. students will learn the concepts of cost behavior, cost-volume-profit analysis, master budgeting, relevant factors for short -term decision making and cost allocation. prerequisites:actg 2200, microsoft excel certification, and admission to the daniels college of business.",ACTG 2200,"microsoft excel certification, admission to the daniels college of business"
Accounting,ACTG 2988 Study Abroad Resident Credit  (0-18 Credits),,,
Accounting,ACTG 3014 Accounting Core I - Accounting Fundamentals  (4 Credits),"the course prepares the future accountant to understand how the accounting system and profession functions within marketplace. at the conclusion of this course the student should understand: (1) the fundamental elements and terminology of business transactions and related financial accounting (2) the accounting system of recording, classifying and summarizing information, (3) economic and ethical issues relating to financial accounting, and (4) technical and communication skills necessary for the professional accountant. the practice of technical skills is supplemented with learning concepts and techniques for effective oral and written business functions, with a focus on reinforcing speaking and writing skills through practice and feedback. prerequisites:actg 2200,actg 2300. prerequisite or co-requisite:fin 2800.","ACTG 2200, ACTG 2300",
Accounting,ACTG 3017 Accounting Information Systems & Controls  (4 Credits),"the objective of this course is to provide an integrated learning opportunity that encompasses financial internal controls and accounting information systems. students will learn skills that can immediately be translated to their jobs/internships. the first part of the course focuses on advanced excel concepts and certification, as well as learning some basic concepts for database systems using access. the second part of the course will focus on completing the accounting cycle for a business in a manual environment. the purpose being to understand the relationship of all of the documents and the needed controls. the third part of the course focuses on the use of accounting software to automate the processes from the second part of the course. the emphasis being on understanding the impact on the controls within the system. prerequisites:actg 2200,actg 2300, and fin 2800.","ACTG 2200, ACTG 2300, FIN 2800",
Accounting,ACTG 3018 Intermediate Financial Accounting I  (4 Credits),"foundations of financial statement content, including structure of financial accounting theory; accounting process and cycle; income determination and reporting; compound interest concepts and relationship to accounting; accounting and reporting for current assets. case studies of open-ended accounting problems requiring application of gaap guidance to fact patterns. prerequisites:actg 2200,actg 2300. prerequisite or co-requisite:fin 2800. must be a daniels student.","ACTG 2200, ACTG 2300",
Accounting,ACTG 3019 Cost Management  (4 Credits),"this course introduces objectives, methods and problems encountered in cost accounting. cost accounting is a broad field that often links financial and management accounting, involving communication between accountants and management. prerequisites:actg 2200,actg 2300. prerequisite or co-requisite:fin 2800.","ACTG 2200, ACTG 2300",
Accounting,ACTG 3034 Accounting Data Analytics  (4 Credits),"in today’s information world, accountants must be well equipped to understand and utilize the vast and varying data systems that feed a company’s decision-making process. the course fosters a data analytics mindset in accounting students by providing hands on skills with software tools with a strong emphasis on interpreting and communicating the results to the business. students will gain experience coding in sql, loading and manipulating data files in alteryx, and visualizing data for effective storytelling in tableau. projects focus on large scale business cycles and challenge students to craft appropriate questions of the data and dig beyond initial data results to identify trends and root causes. strong focus is placed on visually and verbally communicating the results of the data analysis to a non-technical business audience.",,
Accounting,ACTG 3037 Cost Management  (4 Credits),"cost management builds upon basic concepts and techniques for using accounting information for managerial purposes. the focus is on interpreting both high-level and detailed financial information and making business decisions, not accumulating or preparing accounting information. after completing this course, the student should understand: • cost behavior. • techniques and uses of cost-volume-profit analysis. • relevant factors for short-term decision-making. • cost accumulation, tracing, and allocation. • components and uses of the master budget. to master the course material, the student will need a basic understanding of historical financial accounting, but the course emphasizes present and future management actions. prerequisites:actg 2300 and actg 3018.","ACTG 2300, ACTG 3018",
Accounting,ACTG 3038 Accounting Core II - Intermediate Financial Accounting II  (4 Credits),"the focus of this course is the foundation and content of published financial statements. specifically, it covers the following two modules: 1) assets: recognition, measurement and reporting issues, a) fixed assets and b) intangible assets; 2) liabilities: recognition, measurement and reporting issues, a) current liabilities, b) contingencies, and c) long-term liabilities. common to each of the modules is an emphasis on reading gaap and applying the gaap guidance to fact patterns. in particular, the course is designed to enhance each student's ability to identify, discuss, and resolve open-ended problems (i.e., those having no single ""correct"" answer). therefore, each student must commit to being an active participant in the class discussions. the two main reasons to participate are that (1) the class will be a richer experience if we hear a variety of views on each issue and (2) it is important to develop confidence in your ability to analyze and discuss complex technical issues, and to explain and justify your conclusions. prerequisites:actg 3014,actg 3019 and actg 3018.","ACTG 3014, ACTG 3018, ACTG 3019",
Accounting,ACTG 3049 Accounting Information Systems  (4 Credits),"the objective of this course is to provide an integrated learning opportunity that encompasses financial statement assurance and accounting information systems. the first part of the course exposes these issues using a hypothetical company based on an actual company. the student should develop a knowledge and understanding of this particular industry and how it provides assurance of the company's financial statements as well as address a variety of challenging accounting information systems issues. the second part of the course focuses on a conceptual framework to emphasize the professional and legal responsibility of accountants, auditors, and management for the design, operation, and control of ais applications.",,
Accounting,ACTG 3068 Intermediate Financial Accounting III  (4 Credits),"this course is a continuation of actg 3018 and actg 3038 and completes the examination of the foundation and content of published financial statements. specific topics include: stockholders' equity, investments in debt and equity securities, revenue recognition, income taxes, pensions, leases, statement of cash flows, accounting changes and errors, and interim reporting. prerequisites:actg 3034,actg 3037, and actg 3038.","ACTG 3034, ACTG 3037, ACTG 3038",
Accounting,ACTG 3069 Accounting Communications  (4 Credits),"this course emphasizes critical communications skills for future accounting, tax, auditing and consulting professionals. the course develops written communication skills including but not limited to technical writing, reporting the results of research and explaining complex issues. oral communication assignments include formal presentations, development of debate skills and boardroom presence. assignments incorporate business etiquette and team building.",,
Accounting,ACTG 3130 RPA in the Business and Accounting Environment  (4 Credits),"robotic process automation (rpa) is an emerging technology that is changing the way businesses process data. rpa allows many business processes to be automated and remove the human from performing repetitive tasks. this course will teach the basics of the technology using one of the most popular rpa software programs, ui path. students will learn the theory, design an application of rpa through small projects.",,
Accounting,ACTG 3220 Understanding Financial Statements  (4 Credits),"provides business majors with the necessary understanding to read, interpret, and use published financial statements. cross listed with actg 4222. prerequisite:actg 2200 and admission to daniels.",ACTG 2200,admission to daniels
Accounting,ACTG 3230 Financial Statement Analysis  (4 Credits),"consolidated financial statements, accounting for leases, currency translation, and options and futures impacts, gaap to restate financial statements for differences between companies. impact of financial transactions and evaluating a firm's performance from a user's perspective.",,
Accounting,ACTG 3281 Intermediate Financial Accounting I  (4 Credits),the focus of this course is the foundation and content of published financial statements. specifically it covers the following broad topics: (1) conceptual framework of financial reporting; (2) financial statements and related disclosures; (3) assets: recognition and measurement; and (4) liabilities: recognition and measurement. common to each of the topics is an emphasis on reading gaap and applying gaap guidance to fact patterns. prerequisite:actg 2200.,ACTG 2200,
Accounting,ACTG 3282 Intermediate Financial Accounting II  (4 Credits),"this course is a continuation of intermediate financial accounting i. the focus of this course is the application of generally accepted accounting principles to complex business transactions. the course includes various intermediate accounting topics, including current and long-term liabilities, leases, income taxes, pensions, shareholders’ equity, earnings per share, the statement of cash flows, and other financial reporting issues. prerequisite:actg 3281.",ACTG 3281,
Accounting,ACTG 3284 Consolidated Financial Statement  (2 Credits),"consolidation procedures, issues in the preparation and presentation of consolidated information, and interpretation of consolidated financial statements.",,
Accounting,ACTG 3285 Accounting for Foreign Operations  (2 Credits),"financial statement impact from doing business in a foreign currency, having foreign subsidiaries or operations, and certain hedging activities.",,
Accounting,ACTG 3340 Topics and Cases in Managerial Accounting  (4 Credits),topics & cases in managerial accounting focuses upon contemporary methodologies used by managerial accountants. such methodologies are examined through classroom discussions of case studies and related articles. the course is designed to develop and enhance skills that are essential for the long-term success of career in accounting and finance. prerequisites:actg 2300.,ACTG 2300,
Accounting,"ACTG 3360 Profit, Planning & Control  (4 Credits)","comprehensive planning in the corporate environment involving in-depth study of goals, procedures, responsibility, and coordination of planning and control process. objectives and structuring of planning process, significant problem areas, benchmarks for alternative evaluation processes, and correction and control tools. prerequisite:actg 2300.",ACTG 2300,
Accounting,ACTG 3440 Business and Investment Tax Issues  (4 Credits),"income tax conceptual framework applicable to common business and investment transactions, including tax implications of business decisions. how effective business planning depends on accurate assessment of relevant tax factors. prerequisites:actg 2200.",ACTG 2200,
Accounting,ACTG 3461 Individual Income Tax  (4 Credits),"federal income tax as it applies to individuals, including discussion of rates, exemptions, deductions, and accounting methods; gross income, property transactions, tax deferred exchanges; business operating taxpayer issues. prerequisites:actg 2200.",ACTG 2200,
Accounting,ACTG 3462 Corporate & Partnership Tax  (4 Credits),"federal income tax as applied to the formation, operation and dissolution of business entities. determination of corporate taxable income, special deductions, credits, methods of computing tax liability and estimated tax requirements. determination of partnership and s corporation ordinary income; classification and amount of separately stated items allocable to partners and s corporation shareholders in accordance with the conduit principle.",,
Accounting,ACTG 3551 Auditing  (4 Credits),"this course covers professional ethics and legal environment, generally accepted auditing standards (gaas), internal control, audit documentation and auditors reports.",,
Accounting,ACTG 3620 Accounting Ethics  (4 Credits),"this course focuses on the idea of community and the ethical and social relationships of accounting leaders and business organizations in their communities. the course focus is on the role of the accounting professional and the unique and special responsibilities associated with that role. this is examined by analyzing a variety of issues that students will face during their careers. the goal is to provide students with generalized understanding and skills that can be employed in dealing with other issues that emerge directly relate to the state code of professional conduct applicable to cp as, the code provisions are discussed and analyzed.",,
Accounting,ACTG 3701 Topics in Accounting  (1-4 Credits),,,
Accounting,ACTG 3702 Topics in Accounting  (1-4 Credits),,,
Accounting,ACTG 3703 Topics in Accounting  (1-4 Credits),,,
Accounting,ACTG 3704 Topics in Accounting  (1-4 Credits),,,
Accounting,ACTG 3705 Topics in Accounting  (4 Credits),prerequisite:actg 3068 or instructor's permission.,ACTG 3068,instructor's permission
Accounting,ACTG 3740 Valuation and Modeling  (4 Credits),"professional decisions in the face of uncertainty are made using a combination of judgment and sound analysis. even skilled professionals in any field will make incorrect decisions when working with incorrect or insufficient information or when making careless analyses. one key to improving decision-making is superior analytical insights and skills. given this, the ultimate purpose of the course is to: 1. provide you with experience in identifying critical decisions that can best be improved through analysis of data and modeling. once key issues are identified. 2. provide you with the knowledge and insight necessary to identify appropriate (and reject inappropriate) models or analyses. once an appropriate model or models are identified: 3. provide you with the tools and skills necessary to correctly use those models by identifying, measuring and evaluating critical factors, data and assumptions. 4. gain experience in critically evaluating and auditing your work and the work of other professionals. for example, has management used appropriate models, appropriate data and reasonable assumptions in their estimates of fair value for various assets. prerequisites:info 1020,actg 2200 and fin 2800.","ACTG 2200, FIN 2800, INFO 1020",
Accounting,ACTG 3880 Internship - Undergraduate  (0-4 Credits),practical work experience.,,
Accounting,ACTG 3885 Undergraduate Field Experience  (0 Credits),compensated work experience; no academic credit. prerequisite: instructor's permission.,,instructor's permission
Accounting,ACTG 3988 Study Abroad Resident Credit  (0-18 Credits),,,
Accounting,ACTG 3991 Independent Study  (1-10 Credits),independent research/study; requires written report. prerequisite: instructor's permission.,,instructor's permission
Accounting,ACTG 3995 Independent Research  (1-10 Credits),,,
Advanced Seminar,ASEM 2401 'Extreme' Philosophy: Major Philosophical Issues of the 21st Century  (4 Credits),"this course involves an exploration and critical assessment of several of the most important 21 st century philosophical issues: the ""doomsday argument,"" the ""singularity argument,"" the ""simulation argument,"" and various views surrounding the possibility (and probability) of extraterrestrial intelligence (eti). there are no prior knowledge prerequisites; all necessary background information will be presented in the course. enforced prerequisites and restrictions: completion of all other common curriculum requirements. however, students may enroll under special circumstances with prior permission of the instructor.",,
Advanced Seminar,ASEM 2402 Culture and Identity in American Political Development  (4 Credits),"this course considers the development of american politics over time, through the lens of struggles over culture and identity. we discuss how political and institutional change around these topics happens in the american political system. the first section of the course reviews broad theories in the field of american political development, addressing the role of culture, institutions, and policy. we then turn to closer consideration of the ways in which scholars from multiple disciplines have applied these theories to specific areas of american politics. enforced prerequisites and restrictions: completion of all other common curriculum requirements. however, students may enroll under special circumstances with prior permission of the instructor.",,
Advanced Seminar,ASEM 2403 Versions of Egypt  (4 Credits),"this course will study a handful of books that lead up to and study the recent egyptian revolutions. we will read alifa rifaat’s distant view of the minaret, amitav ghosh’s in an antique land, alaa al aswany’s the yacoubian building, wael ghonim’s revolution 2.0, and excerpts from peter hessler’s forthcoming book about post-revolutionary egypt. the class will attempt to understand both 21 st century egypt and the aftereffects of the dramatic changes in egypt since the first revolution of february 2011. students will write both critical and creative essays for this seminar.",,
Advanced Seminar,"ASEM 2404 Music Preference, Identity, Genre, and Recommendation  (4 Credits)","students examine the relationship between music preferences, personality, and identity. because music preferences are strongly mediated by cultural industries and institutions, students also examine two of the music industry's tools for connecting listeners to their preferred music: genre systems and a more recent tool, automated music recommendation engines. the course includes three medium-length papers and many written responses to scholarly writing drawn from music psychology, musicology, and music informatics.",,
Advanced Seminar,ASEM 2405 Decision-making and Neuroeconomics  (4 Credits),"how do you decide what to buy, who to trust, which job to take, or what you'll want to eat tomorrow? this seminar-style course integrates perspectives from psychology, neuroscience, and economics to understand decision-making, how it is affected by emotions or social contexts, and how it is implemented in the human brain. the course emphasizes active participation, and relies upon primary scientific sources (i.e. peer-reviewed empirical articles). recommended: a familiarity with at least one of cognitive psychology, human neuroscience, or behavioral economics. recommended: a familiarity with at least one of cognitive psychology, human neuroscience, or behavioral economics.",,
Advanced Seminar,ASEM 2406 Myths of Medieval Encounter  (4 Credits),"using three case studies (vikings, crusaders, and conquistadors) this course examines how pre-modern authors shaped the image of europe by depicting foreign cultures and how we sue the texts of the past to understand not just the cultures they describe, but also the changing face of europe across the centuries.",,
Advanced Seminar,ASEM 2407 The Individual in Modern Economies  (4 Credits),"this course discusses the role of the individual in modern economies, and the impact that modern economic systems have on individuals and their lives. the course will include objectives that people pursue in societies, and how the structure of the economic system can help or hinder achieving them. to that end, a conceptual understanding of different perspectives on modern economies will be at the center of the class. those perspectives will be drawn not only from economic concepts in a narrow sense, but also be informed by sociology, political science, and psychology, among other disciplines.",,
Advanced Seminar,ASEM 2408 Income and Wealth Inequality in the 21st Century  (4 Credits),"the work of emmanuel saez and thomas piketty in the early 2000 s revealed that the share of income being captured by the top 1% of income earners has been rising steadily for the past three decades. their observation was the key stylized fact behind the occupy movement rallying cry “we are the 99%!” this seminar on income and wealth inequality takes a closer look at the key empirical discoveries and theoretical insights. in the course of reading piketty’s book capital in the 21 st century and supplemental texts representing multiple traditions and perspectives, students engage critically with these topics and the controversies around them. the objective of this course is for students to leave with an in-depth understanding of issues in income and wealth inequality, the controversies around works like piketty’s book, and their relevance for the economic and political present. enforced prerequisites: completion of all other common curriculum requirements. however, students may enroll under special circumstances with prior permission of the instructor.",,completion of all other common curriculum requirements
Advanced Seminar,"ASEM 2409 Performing India: Performance, Ritual, and the Indian Body Politic  (4 Credits)","this course explores ""performance"" as an organizing principle of indian cultural, political, and religious expression. we delve into the shared poetic and spiritual experience of the performer and spectator as a foundational aspect of performance that fundamentally shapes the indian body politic. this interaction between spectator and performer functions as a guide trope as we examine the pan-indian oral performance tradition through the transmission, rewriting, recasting, regionalization, and politicization of canonical indian epics, the ""mahabharata"" and ""ramayana"".",,
Advanced Seminar,ASEM 2410 Science & Religion in Dialogue  (4 Credits),"this course examines the relationship between science and religion. our key question is “what is the best way to understand or construe this relationship?” we begin by attempting to identify and, then, dispel certain popular “myths” about science and religion. then we turn our attention to the life, the scientific discoveries, the religious commitments and struggles of charles darwin. darwin’s career is the perfect entry point for considering much broader issues in the relationship between science and religion. darwin’s evolutionary theory fundamentally shaped modern science. but in so doing it also raised significant challenges to traditional religious belief, particularly in christian communities of faith. for that reason, darwin is as controversial today as he was 150 years ago, especially in (tho’ not limited to) america. with that foundation, we shall be in a position to wrestle with a quite recent, thorough-going reassessment of the science/religion debate, one that is both critical and constructive. completion of all common curriculum requirements is required prior to registering for this class.",,
Advanced Seminar,ASEM 2411 Race and the Politics of Punishment  (4 Credits),"this course uses perspectives from history and politics to explore questions about race-based practices and policies in contemporary america. one rich lens on these questions is provided by the current of mass incarceration. michelle alexander's book, the new jim crow, argues “we have not ended racial caste in america; we have merely redesigned it."" the course investigates her argument: what would it mean for mass incarceration to be the new jim crow? what does that framing reveal, and what does it conceal? students develop a solid understanding of the origins and consequences of race-based practices and policies (whether explicit or implicit) in american politics, as well as of mass incarceration. specific examples raise broader questions about racism in american political history, political power, and political change.",,
Advanced Seminar,ASEM 2412 Emotions in Theatre and the Brain  (4 Credits),"this course examines one core aspect of human nature: emotion, exploring its dimensions from the perspectives of philosophy, psychology, neuroscience, and theatre.",,
Advanced Seminar,ASEM 2413 Applied Neural Networks  (4 Credits),"artificial neural networks (ann) are a set of important technological tools that have a wide array of practical applications, ranging from weather forecasting to engineering. this course defines and explains an ns and how they have been applied to a wide variety of real phenomena.",,
Advanced Seminar,"ASEM 2414 Wealth, Power & Justice in the European Union  (4 Credits)","this course explores the regional integration of europe in the postwar era. since the european union ""began"" back in 1950, the central question we consider is why states that fought devastating wars for centuries chose to put down their arms and merge their destinies with a common market, single currency, and binding ""supranational"" legal system. we focus on the evolution of economic and political motivations for integration and the legal pressures that erode state sovereignty today. completion of all common curriculum requirements is required prior to registering for this class.",,
Advanced Seminar,ASEM 2415 Friendships and Communties  (4 Credits),"students will examine traditional understandings of social capital and how we form and maintain relationships for personal, social, and political ends. from this background, students will examine new insights about social capital from an interdisciplinary approach (e.g., evolutionary psychology, philosophy, and anthropology). finally, students will explore these ""new syntheses"" in relation to contemporary critical issues that cross race, class, and national borders. possible examples of such issues include incarceration, homelessness, or the function/effects of social networks like facebook.",,
Advanced Seminar,ASEM 2416 France and Germany: From Carnage to Community  (4 Credits),"today, much to the united kingdom's chagrin, the european union is dominated by a closely cooperating ""dyarchy"" of the french republic and the federal republic of germany. go back a century, however, or two or three, and you find france--whether republic (1909), empire (1809), or kingdom (1709)--preparing for war with germany (1909) or catching her breath between campaigns against various german states (1809, 1709). hundreds of years of european history are marked and marred by increasingly devastating collisions between these two proud nations. when we review and appreciate that bloody ""back-story,"" their present harmony, indeed on many important matters their unison, is an astonishing outcome, which this course attempts to explain, examining implications for the future of europe, of the western alliance, and of the world.",,
Advanced Seminar,ASEM 2417 Cultural Dynamics-African American Music  (4 Credits),"this course examines the cultural and psychological functions of various genres of african american music both historically and in contemporary society. the course is built around the thesis that various forms of african american music--e.g., the spirituals, the blues, gospel, jazz, rap - have served common functions in the culture historically (even while serving distinctive needs at different points in history), and have all served as core features of both african american culture and, more broadly, american aesthetic sensibility.",,
Advanced Seminar,ASEM 2418 Innnovation Nation  (4 Credits),"an in-depth discussion of the american future, which will be defined for the millennial generation as one in which a confluence of trends will combine to alter the structure of opportunity. focus on technological change and who it affects economic and national security, privacy and personal liberty, and employment opportunities. completion of all other common curriculum requirements is required before registering for this class.",,
Advanced Seminar,ASEM 2419 Girl Power: Gender in the Media  (4 Credits),"this course employs an interdisciplinary feminist lens to explore the historical construction and meaning of gender and ""girlhood"" in contemporary american media culture. it explores how the various discourses of girlhood are constructed through media images and stories about female youth in mainstream culture. students learn and practice different forms of critical writing. completion of all other common curriculum requirements is required before registering for this class.",,
Advanced Seminar,ASEM 2420 The Cultured Ape  (4 Credits),"examines the field of human evolutionary psychology. evolutionary psychology examines how human behavior is influenced by our heritage as evolved primates. it challenges the understanding of humans as ""blank slates"" primarily shaped by their social and cultural environments. the course considers the implications of this perspective for social policy.",,
Advanced Seminar,ASEM 2422 Textual Bodies: Discourse and the Corporeal in American Culture  (4 Credits),"this course explores how bodies acquire meanings, and how those meanings are created, represented, disseminated, or contested through discursive and embodied means. course practices include close readings of literary, philosophical and visual texts; creative and auto-ethnographic writing exercises; and in-class dance-based movement drills. prerequisite: completion of all common curriculum requirements is required prior to registering for this class.",,completion of all common curriculum requirements is required prior to registering for this class
Advanced Seminar,ASEM 2423 The American Road Trip  (4 Credits),"as frederick jackson turner told us back in the 19 th century, american cultural identity has hinged on the idea of an ever-receding frontier and the possibility of reaching it. we will chart how the road figures as both a promise and a burden, and how it reflects changing social and cultural issues in american life. we will consider documents of fiction, philosophy and history as well as film and aspects of popular culture as we consider the america fascination with the road and the careers of its many and diverse travelers. enrollment restricted to students in the honors program.",,
Advanced Seminar,ASEM 2424 Poetic Minds  (4 Credits),"how do we know who we are? how do we know what is real? how do we decide what is right? in this asem, course participants will trace these key questions from enlightenment philosophy to british romantic literature and, finally, to their echoes and afterlives in contemporary literature.",,
Advanced Seminar,ASEM 2425 Humans vs. Machines: When will the Robots Leave Us in the Dust?  (4 Credits),"the rise of robotics, automation, big data, cloud computing and artificial intelligence have widely delivered both positive and negative impacts to our economy and society. on the one hand, robots, machines and complex algorithms have drastically improved production, national outputs and economic growth. on the other hand, they have also displaced jobs, weakened human interactions and substantially altered the nature of work and employer-employee relationship across developed and developing countries. this seminar assesses the rise of technology, the disruptions that it entails and the policies needed to confront those changes. the objective of this course is for students to be informed and engaged with opposing arguments and approaches that characterize the creation, promotion, use and problems created by the current and future waves of technological change. the ""replicants"" are rising; can the humans fight back?.",,
Advanced Seminar,"ASEM 2426 Narrating Memory, History, Space in the City  (4 Credits)","this course draws on a variety of anthropological questions, theoretical approaches, and methodological techniques to examine the city and city life. it begins with the origins and development of cities and the identification of urban areas as sites for investigation in social theory. it next turns attention to exploring how ethnographers link everyday life on the social periphery to larger historical, political, and economic processes. a major course theme is understanding how urban spaces shape identities and communities, and it uses denver's changing urban landscape to illustrate the theme. the course considers the basic human practice of listening to stories, as well as the meaning of narration in and about the city.",,
Advanced Seminar,"ASEM 2427 Mid-Century Mod, Redrawn  (4 Credits)","studying the art history of the mid-20 th century is not an exercise in nostalgia but a study of the way we think, communicate, and innovate. artists like grace hartigan, tadeusz kantor, and el anatsui illustrate creative labor in a rapidly changing, globalizing world. this course, designed for all majors as part of the advanced seminar common curriculum requirement, takes in part its inspiration from mo ma's initiative contemporary and modern art perspectives, which aims to redraw understandings of modernism within the purview of global art history and larger cultural framework, including social, political, economic, and intellectual. the course reconsiders the 1950 s and 1960 s and the notion of ""modernity"" from multiple geographies and identities: western and central-eastern europe, latin and north america, and africa.",,
Advanced Seminar,"ASEM 2428 Religion, Nation, and Money  (4 Credits)","primarily through the lens of religious studies, this course, accessible to students from various majors, explores the intellectual history and continued existence of manifest destiny in the united states and fosters nuanced perspective concerning the construction of american identity and u.s. nationalism. students examine the relationship between the following: religion and capitalism, religion and national identity, religion and ethnic particularity, religion and race, and religion and armed conflict. prerequisite: completion of all other common curriculum requirements. however, students may enroll under special circumstances with prior permission of the instructor.",,completion of all other common curriculum requirements
Advanced Seminar,ASEM 2429 Media Infrastructures and Materiality  (4 Credits),"while people often think of the internet as existing over the air and cell phones as untethered allowing fluid mobility, these digital technologies have a physical and material infrastructure. this course examines and interrogates the materiality of digital technology (cell towers, underwater sea cables, data centers, internet cafes, etc.) and explores ""the digital"" as a feature of the human within social and historical contexts. the course draws on multiple perspectives to examine the intersection of technology and society in everyday lives by using an ethnographic methodology. participants working in research teams to carry out ethnographic research, media studies research, and interview-based research to produce media products (audio or video documentary, social media campaign, public art installation, website, or so on) to report about a media infrastructure to be shared publicly in denver. prerequisite: completion of all other common curriculum requirements. however, students may enroll under special circumstances with prior permission of the instructor.",,completion of all other common curriculum requirements
Advanced Seminar,ASEM 2430 Romanticism in Germany  (4 Credits),"the german romantic movement of the late 18 th and early 19 th-centuries was one of the most exciting and perilous intellectual adventures in the history of western culture. some of the most daring, creative and prophetic work was done at this time, and it dramatically affected nearly every facet of german culture, inspiring novel, sometimes unprecedented, developments in philosophy, aesthetics, poetry, literature, music and criticism. nor were these developments limited to german culture, but extended to its politics and efforts to form a unified national front against the deracinating effects of industrialization and modernization. the course traces these developments through an exploration of some of the seminal figures, themes and ideas of the romantic period, primarily in relation to their intersection with philosophy, politics and art and german history. prerequisites: completion of all common curriculum requirements is required prior to registering for this class.",,completion of all common curriculum requirements is required prior to registering for this class
